,State,Population,Cluster
0,Alabama,4464356,1
1,Alaska,634892,4
2,Arizona,5307331,2
3,Arkansas,2692090,1
4,California,34501130,3
5,Colorado,4417714,2
6,Connecticut,3425074,1
7,Delaware,796165,1
8,District of Columbia,571822,2
9,Florida,16396515,1
10,Georgia,8383915,2
11,Hawaii,1224398,2
12,Idaho,1321006,2
13,Illinois,12482301,2
14,Indiana,6114745,1
15,Iowa,2923179,1
16,Kansas,2694641,1
17,Kentucky,4065556,1
18,Louisiana,4465430,1
19,Maine,1286670,1
20,Maryland,5375156,2
21,Massachusetts,6379304,1
22,Michigan,9990817,1
23,Minnesota,4972294,1
24,Mississippi,2858029,1
25,Missouri,5629707,1
26,Montana,904433,1
27,Nebraska,1713235,1
28,Nevada,2106074,2
29,New Hampshire,1259181,1
30,New Jersey,8484431,2
31,New Mexico,1829146,2
32,New York,19011378,3
33,North Carolina,8186268,2
34,North Dakota,634448,1
35,Ohio,11373541,1
36,Oklahoma,3460097,1
37,Oregon,3472867,1
38,Pennsylvania,12287150,1
39,Rhode Island,1058920,1
40,South Carolina,4063011,1
41,South Dakota,756600,1
42,Tennessee,5740021,1
43,Texas,21325018,3
44,Utah,2269789,2
45,Vermont,613090,1
46,Virginia,7187734,2
47,Washington,5987973,2
48,West Virginia,1801916,1
49,Wisconsin,5401906,1
50,Wyoming,494423,1
